Time_Seconds,ECG_Raw,ECG_Filtered,R_Peak_Marker
0.0,8170.0,72.85888602949535,0.0
0.008,8175.0,178.78163415325162,0.0
0.016,8180.0,216.36177503071417,0.0
0.024,8180.0,206.8051135977148,0.0
0.032,8203.0,174.49814250049758,0.0
0.04,8184.0,129.75307826509356,0.0
0.048,8175.0,77.89839976080088,0.0
0.056,8171.0,32.76540078979792,0.0
0.064,8174.0,0.901897275111196,0.0
0.072,8183.0,-15.627254554108731,0.0
0.08,8507.0,44.998883042310354,0.0
0.088,8177.0,72.80491411048183,0.0
0.096,8161.0,7.523185505361198,0.0
0.104,8165.0,-34.67653478213947,0.0
0.112,8169.0,-52.74160121880709,0.0
0.12,8175.0,-53.385994205591714,0.0
0.128,8183.0,-42.81292875377471,0.0
0.136,8193.0,-26.39167509865206,0.0
0.144,8203.0,-8.592866814743275,0.0
0.152,8220.0,8.75222135212016,0.0
0.16,8242.0,25.65086998301149,0.0
0.168,8263.0,40.54066371036288,0.0
0.176,8275.0,49.94194723622877,0.0
0.184,8270.0,49.36016789518271,0.0
0.192,8234.0,33.15618668143361,0.0
0.2,8195.0,3.2237478239708253,0.0
0.208,8169.0,-28.246558970746037,0.0
0.216,8159.0,-49.930364454555956,0.0
0.224,8159.0,-57.227106909785334,0.0
0.232,8163.0,-52.04888018512065,0.0
0.24,8167.0,-39.46085424901912,0.0
0.248,8168.0,-25.012081062297284,0.0
0.256,8169.0,-12.26637205288398,0.0
0.264,8167.0,-3.073154792604555,0.0
0.272,8167.0,2.4210236310364053,0.0
0.28,8167.0,5.303215934122591,0.0
0.288,8165.0,5.79510793001009,0.0
0.296,8167.0,5.207405280861167,0.0
0.304,8174.0,5.909042215703266,0.0
0.312,8177.0,7.471116838137959,0.0
0.32,8179.0,8.28371981833061,0.0
0.328,8194.0,10.981496193150178,0.0
0.336,8172.0,9.481926480897755,0.0
0.344,8166.0,1.4370883706983477,0.0
0.352,8168.0,-4.355698481780564,0.0
0.36,8171.0,-6.0996636526408565,0.0
0.368,8227.0,5.8474878610791166,0.0
0.376,8448.0,68.61779372098772,0.0
0.384,8156.0,80.83142314175643,0.0
0.392,8161.0,17.165209031903714,0.0
0.4,8163.0,-21.65922756070654,0.0
0.408,8168.0,-39.906035033200396,0.0
0.416,8174.0,-42.39963188263664,0.0
0.424,8183.0,-34.381543927672055,0.0
0.432,8193.0,-20.545296387001827,0.0
0.44,8204.0,-4.957335653490645,0.0
0.448,8221.0,10.733372305236344,0.0
0.456,8241.0,25.944655690895615,0.0
0.464,8263.0,39.58770218870109,0.0
0.472,8272.0,47.987540024739474,0.0
0.48,8261.0,45.271111137063144,1.0
0.488,8220.0,26.17734190291594,0.0
0.496,8181.0,-5.4275417041837954,0.0
0.504,8166.0,-34.32798289161883,0.0
0.512,8159.0,-50.70974690343951,0.0
0.52,8159.0,-54.13980472151229,0.0
0.528,8163.0,-47.142898529678405,0.0
0.536,8167.0,-34.223113281550695,0.0
0.544,8168.0,-20.37224153883176,0.0
0.552,8167.0,-9.092186544274455,0.0
0.56,8166.0,-1.4512994659178275,0.0
0.568,8163.0,2.4703393876561677,0.0
0.576,8164.0,4.006455882093178,0.0
0.584,8162.0,4.103185818345764,0.0
0.592,8166.0,3.946901989877233,0.0
0.6,8167.0,4.277583184059495,0.0
0.608,8172.0,5.050420341902964,0.0
0.616,8174.0,6.171877396726586,0.0
0.624,8194.0,10.393993921795072,0.0
0.632,8188.0,14.175306050581185,0.0
0.64,8169.0,9.15490348707067,0.0
0.648,8168.0,0.7118377733575016,0.0
0.656,8168.0,-4.593601203388289,0.0
0.664,8155.0,-9.690695620713313,0.0
0.672,8431.0,42.49523177487663,0.0
0.68,8252.0,86.73230443166062,0.0
0.688,8157.0,43.76596931918925,0.0
0.696,8160.0,-7.075363806806763,0.0
0.704,8163.0,-34.84433078770053,0.0
0.712,8170.0,-43.94103200576956,0.0
0.72,8177.0,-39.798615460293604,0.0
0.728,8186.0,-28.04604409006447,0.0
0.736,8196.0,-12.961765770553484,0.0
0.744,8206.0,2.0102247303154854,0.0
0.752,8228.0,17.097487810559414,0.0
0.76,8251.0,32.62142645505969,0.0
0.768,8268.0,45.028497851976226,0.0
0.776,8266.0,48.60368001934239,0.0
0.784,8243.0,38.24162466846451,0.0
0.792,8201.0,13.036086953645963,0.0
0.8,8170.0,-18.760811324213364,0.0
0.808,8156.0,-43.91462119940752,0.0
0.816,8155.0,-55.197080336688714,0.0
0.824,8155.0,-53.705279998279366,0.0
0.832,8160.0,-43.65917325952205,0.0
0.84,8163.0,-29.4642697058664,1.0
0.848,8162.0,-16.193694429269954,0.0
0.856,8164.0,-5.686042046973398,0.0
0.864,8162.0,1.3902373383543818,0.0
0.872,8160.0,4.547157613556465,0.0
0.88,8164.0,6.133353941948371,0.0
0.888,8163.0,6.7544414559856705,0.0
0.896,8164.0,6.0976985372747095,0.0
0.904,8167.0,5.6020220827927005,0.0
0.912,8174.0,6.502555416725727,0.0
0.92,8172.0,7.070769313389519,0.0
0.928,8195.0,10.625115297887305,0.0
0.936,8174.0,11.524858409613444,0.0
0.944,8162.0,3.5677332324228246,0.0
0.952,8160.0,-4.539219489124889,0.0
0.96,8165.0,-8.032556237519657,0.0
0.968,8187.0,-3.364557237636518,0.0
0.976,8487.0,65.6910616905966,0.0
0.984,8162.0,91.4633799372209,0.0
0.992,8155.0,25.01028480840955,0.0
1.0,8156.0,-19.307625427112725,0.0
1.008,8160.0,-41.568396444604105,0.0
1.016,8168.0,-45.97951028122452,0.0
1.024,8173.0,-38.96128853964183,0.0
1.032,8187.0,-25.022016889123734,0.0
1.04,8194.0,-8.69440419792727,0.0
1.048,8209.0,6.774511465102705,0.0
1.056,8228.0,21.84193481149964,0.0
1.064,8252.0,36.22622445522029,0.0
1.072,8263.0,46.39127526444395,0.0
1.08,8255.0,45.98230711960673,0.0
1.088,8217.0,29.371145604959565,0.0
1.096,8175.0,-1.249746228858612,0.0
1.104,8157.0,-31.427464356136625,0.0
