Time_Seconds,ECG_Raw,ECG_Filtered,R_Peak_Marker
0.0,8169.0,104.16362126177796,0.0
0.008,8167.0,253.7284002893066,0.0
0.016,8168.0,303.5082428494063,0.0
0.024,8169.0,287.3411292539836,0.0
0.032,8166.0,233.80701646030798,0.0
0.04,8174.0,167.72063110206045,0.0
0.048,8175.0,105.04753180911348,0.0
0.056,8184.0,54.09932670531839,0.0
0.064,8191.0,19.035358900566507,0.0
0.072,8169.0,-7.6519113098418075,0.0
0.08,8166.0,-27.382119449443962,0.0
0.088,8167.0,-35.30768115195997,0.0
0.096,8166.0,-34.64178406088263,0.0
0.104,8292.0,-3.4582672245296635,0.0
0.112,8338.0,50.64766913377139,0.0
0.12,8148.0,45.547727538737036,0.0
0.128,8159.0,-0.9437901787428018,0.0
0.136,8163.0,-25.231195015317326,0.0
0.144,8170.0,-33.522070148112334,0.0
0.152,8177.0,-30.482726981835185,0.0
0.16,8185.0,-20.99921086699942,0.0
0.168,8195.0,-8.529532002777614,0.0
0.176,8206.0,4.428510560022005,0.0
0.184,8227.0,17.958087473935166,0.0
0.192,8251.0,32.43033602063815,0.0
0.2,8267.0,44.24441119292305,0.0
0.208,8266.0,47.5877731631133,0.0
0.216,8241.0,37.03834237613637,0.0
0.224,8196.0,10.882918814240611,0.0
0.232,8164.0,-21.966497980005215,0.0
0.24,8152.0,-47.05244481105706,0.0
0.248,8149.0,-57.8190387591726,0.0
0.256,8150.0,-55.82893757758529,0.0
0.264,8156.0,-44.757563337515876,0.0
0.272,8156.0,-30.19839102180117,0.0
0.28,8158.0,-16.60108634318067,0.0
0.288,8157.0,-5.838441308385427,0.0
0.296,8155.0,0.7988433652185449,0.0
0.304,8156.0,4.398707671364264,0.0
0.312,8154.0,5.656464659979065,0.0
0.32,8154.0,5.134111612531797,0.0
0.328,8162.0,5.681207555023093,0.0
0.336,8166.0,7.595030961757402,0.0
0.344,8174.0,10.026976519435948,0.0
0.352,8177.0,12.192326186760965,0.0
0.36,8156.0,7.946995011122908,0.0
0.368,8151.0,-1.0803665249195546,0.0
0.376,8152.0,-7.072540234769576,0.0
0.384,8147.0,-10.36122460515412,0.0
0.392,8297.0,18.88835635203054,0.0
0.4,8299.0,64.37653783172345,0.0
0.408,8132.0,47.80829435548435,0.0
0.416,8146.0,-0.4964653680403899,0.0
0.424,8145.0,-26.332639907567,0.0
0.432,8154.0,-35.985365315746776,0.0
0.44,8160.0,-33.17365271003564,0.0
0.448,8167.0,-23.825382479386008,0.0
0.456,8177.0,-11.211507657330912,0.0
0.464,8189.0,2.44273214736495,0.0
