Time_Seconds,ECG_Raw,ECG_Filtered,R_Peak_Marker
0.0,8242.5,169.7099302796296,0.0
0.008,8220.5,409.56138681135826,0.0
0.016,8190.5,478.69115943444103,0.0
0.024,8160.5,434.74111355041737,0.0
0.032,8153.0,335.17596369064563,0.0
0.04,8158.5,225.06806422255772,0.0
0.048,8168.5,128.9941216570105,0.0
0.056,8165.5,54.04922475970511,0.0
0.064,8171.5,2.1453383196580944,0.0
0.072,8182.0,-25.50482956295741,0.0
0.08,8180.0,-36.25370305081856,0.0
0.088,8194.0,-34.66246991726803,0.0
0.096,8181.0,-28.261876864145734,0.0
0.104,8173.0,-24.482059873981598,0.0
0.112,8173.5,-20.067169269457054,0.0
0.12,8175.5,-13.903038460062817,0.0
0.128,8170.0,-8.864769811957785,0.0
0.136,8400.5,41.426543166553074,0.0
0.144,8206.5,72.34496991763058,0.0
0.152,8107.0,19.699433232621914,0.0
0.16,8173.0,-21.265794585264075,0.0
0.168,8183.5,-26.639404253160137,0.0
0.176,8196.5,-20.977430658522508,0.0
0.184,8201.5,-10.771107877235863,0.0
0.192,8216.5,0.9839381661315656,0.0
0.2,8236.5,14.937205227440927,0.0
0.208,8257.5,29.300821537083948,0.0
0.216,8264.0,38.971362814552776,0.0
0.224,8243.5,35.92177484291187,0.0
0.232,8198.0,15.188234072372552,0.0
0.24,8165.0,-15.413878024834958,0.0
0.248,8157.5,-39.449174206784846,0.0
0.256,8155.0,-49.72565654022219,0.0
0.264,8162.5,-47.242650662013375,0.0
0.272,8164.5,-36.67080378061132,0.0
0.28,8172.0,-22.918046436906707,0.0
0.288,8177.5,-8.654131348386727,0.0
0.296,8186.0,3.9538045208814765,0.0
0.304,8188.0,12.955832229683438,0.0
0.312,8164.0,11.820741351493552,0.0
0.32,8159.5,3.5347130702109553,0.0
0.328,8161.0,-2.5144370912200884,0.0
0.336,8166.0,-4.382720823989985,0.0
0.344,8158.5,-5.333900596008334,1.0
0.352,8497.5,62.63797879937397,0.0
0.36,8068.0,74.85055468454402,0.0
0.368,8123.0,-5.785834357671774,0.0
0.376,8178.5,-30.02162003330909,0.0
0.384,8191.5,-25.808385305785123,0.0
0.392,8202.5,-14.500609609753838,0.0
0.4,8208.0,-2.2437825297945437,0.0
0.408,8228.5,10.65689014642976,0.0
0.416,8247.5,24.740498924451003,0.0
0.424,8260.5,35.85619665440527,0.0
0.432,8264.0,40.36474292709113,0.0
0.44,8233.0,31.29304561985191,0.0
0.448,8191.5,6.3718539436315496,0.0
0.456,8163.5,-23.531453285317184,0.0
0.464,8162.0,-43.67544812786491,0.0
0.472,8159.0,-49.88621371958857,0.0
0.48,8159.0,-46.608813893951265,0.0
0.488,8168.5,-35.66326087719085,0.0
0.496,8183.5,-18.7777373732863,0.0
0.504,8197.5,-0.02001607756642443,0.0
0.512,8197.5,13.93651558655506,0.0
0.52,8180.0,16.502180716524208,0.0
0.528,8174.0,10.716516093923019,0.0
0.536,8170.5,3.729275411578328,0.0
0.544,8177.0,-0.35546690668365954,0.0
0.552,8165.5,-3.7387879222999345,0.0
0.56,8410.5,42.531408460620014,0.0
0.568,8070.0,43.93653405881787,0.0
0.576,8108.0,-23.694773496691596,0.0
0.584,8181.5,-37.31986803583891,0.0
0.592,8191.5,-22.660475156632856,0.0
0.6,8197.0,-7.388676092671631,0.0
0.608,8206.5,5.827763568842784,0.0
0.616,8214.5,16.3356508764075,0.0
0.624,8241.5,27.223849467042328,0.0
0.632,8252.5,37.29908657151759,0.0
0.64,8254.0,40.15634370585326,0.0
0.648,8229.5,31.059026215634958,0.0
0.656,8190.5,7.9968703280615046,0.0
0.664,8166.0,-19.82757291920234,1.0
0.672,8162.5,-38.997231775898626,0.0
0.68,8158.5,-45.95395196293475,0.0
0.688,8163.0,-42.99883286678255,0.0
0.696,8169.5,-32.484740639705706,0.0
0.704,8183.5,-17.15348681829164,0.0
0.712,8193.0,-0.6848681400115311,0.0
0.72,8193.5,11.201488133000112,0.0
0.728,8180.5,13.979021515839122,0.0
0.736,8171.5,9.00764738201201,0.0
0.744,8171.5,2.8632118317484583,0.0
0.752,8167.5,-2.021897229692513,0.0
0.76,8170.5,-4.8087000139069005,0.0
0.768,8422.5,46.36895529186472,0.0
0.776,8039.0,42.73969693579534,0.0
0.784,8132.5,-25.133722052142502,0.0
0.792,8176.0,-33.474168288030796,0.0
0.8,8186.0,-22.401521317936158,0.0
0.808,8193.0,-8.983727093562493,0.0
0.816,8202.0,3.582386545508143,0.0
0.824,8216.5,15.271902721311335,0.0
0.832,8230.5,25.69223609487085,0.0
0.84,8244.5,33.67998090386436,0.0
0.848,8242.5,35.74924726117138,0.0
0.856,8216.0,25.730426630902002,0.0
0.864,8178.0,2.726873074213927,0.0
0.872,8159.0,-22.935963705276436,0.0
0.88,8156.0,-39.130178381783026,0.0
0.888,8154.5,-43.694167038389196,0.0
0.896,8160.0,-38.95154764261747,0.0
0.904,8165.0,-28.096097309370634,0.0
0.912,8176.5,-14.045538294039034,0.0
0.92,8184.5,0.3772746092174657,0.0
0.928,8186.5,10.892711341841277,0.0
0.936,8169.0,12.293396901870892,0.0
0.944,8159.0,5.639663289555301,0.0
0.952,8161.5,-0.6826395039752242,0.0
0.96,8162.5,-3.6030898617475486,0.0
0.968,8166.5,-3.762464315165971,1.0
0.976,8427.0,50.75128392356828,0.0
0.984,8034.0,48.226271856608946,0.0
0.992,8141.5,-18.906573505687675,0.0
1.0,8174.0,-27.140252468996778,0.0
1.008,8175.5,-20.94862598413374,0.0
1.016,8188.0,-11.250637782587773,0.0
1.024,8194.5,0.07218159783064948,0.0
1.032,8209.5,11.150002452835224,0.0
1.04,8222.0,21.629208131249925,0.0
1.048,8235.5,29.85917127279913,0.0
1.056,8229.5,31.7316112821959,0.0
1.064,8201.0,20.979703964924738,0.0
1.072,8167.5,-1.2263781579549686,0.0
1.08,8148.0,-25.001028800115364,0.0
1.088,8147.5,-39.35688341595369,0.0
1.096,8152.5,-40.96059038561293,0.0
1.104,8158.0,-33.55375240880721,0.0
1.112,8167.0,-21.123853771938002,0.0
1.12,8166.0,-8.935800048988312,0.0
1.128,8179.5,2.180727894177153,0.0
1.136,8178.0,10.876009995736922,0.0
1.144,8189.0,16.310311836373103,0.0
1.152,8176.5,16.74486195678014,0.0
1.16,8159.5,8.43626114457561,0.0
1.168,8165.5,-0.003777512190708876,0.0
1.176,8168.5,-3.1559223254118933,0.0
1.184,8158.0,-6.073876678202396,0.0
1.192,8438.0,48.18039347426793,0.0
1.2,8061.5,53.24653350722451,0.0
1.208,8129.0,-14.959117311766022,0.0
1.216,8175.0,-29.839704450180307,0.0
1.224,8184.0,-22.879462408419386,0.0
1.232,8195.5,-11.10622328321665,0.0
1.24,8200.0,0.8090986565946423,0.0
1.248,8216.5,12.023448811985645,0.0
1.256,8232.0,23.370326625171174,0.0
1.264,8247.5,32.87095964335845,0.0
1.272,8247.0,36.5705052386877,0.0
1.28,8225.0,28.617121604820113,0.0
1.288,8192.0,8.338264882506564,0.0
1.296,8167.0,-16.768244737414307,1.0
1.304,8159.5,-35.71370610009126,0.0
1.312,8159.5,-43.03565750823191,0.0
1.32,8164.0,-39.92178014225942,0.0
1.328,8169.0,-30.08676728553337,0.0
1.336,8173.0,-17.87014042857095,0.0
1.344,8173.0,-7.118719929827876,0.0
1.352,8173.0,0.31893439530404066,0.0
1.36,8172.0,4.4648958583047715,0.0
1.368,8171.5,5.933428482646832,0.0
1.376,8179.0,7.3324442327350425,0.0
1.384,8186.5,10.112647111440992,0.0
1.392,8185.5,11.551613201974988,0.0
1.4,8169.0,7.075990039820454,0.0
1.408,8168.5,-0.11680374415414008,0.0
1.416,8172.5,-3.637848418598651,0.0
1.424,8166.5,-5.577249323368505,0.0
1.432,8278.0,15.675105970854474,0.0
1.44,8281.0,49.25962715173932,0.0
1.448,8070.5,19.260695657520728,0.0
1.456,8168.5,-24.384614510446,0.0
1.464,8185.0,-23.106939224823464,0.0
