Time_Seconds,ECG_Raw,ECG_Filtered,R_Peak_Marker
0.0,8262.0,120.09594110159719,0.0
0.008,8269.0,294.4385673304796,0.0
0.016,8257.0,351.8826427347317,0.0
0.024,8217.0,321.881769287382,0.0
0.032,8179.0,239.4027623482625,0.0
0.04,8160.0,142.68338207850775,0.0
0.048,8154.0,58.74369454869429,0.0
0.056,8155.0,-0.8258398680566188,0.0
0.064,8162.0,-34.29555064957981,0.0
0.072,8164.0,-47.05116472384202,0.0
0.08,8167.0,-46.439797797711435,0.0
0.088,8165.0,-38.83311408421491,0.0
0.096,8164.0,-29.059877888598294,0.0
0.104,8164.0,-19.078482443609346,0.0
0.112,8163.0,-10.487279326293901,0.0
0.12,8162.0,-4.225062282602721,0.0
0.128,8170.0,1.5490776356903098,0.0
0.136,8170.0,6.363442604455713,0.0
0.144,8190.0,12.331893586472688,0.0
0.152,8184.0,16.852176570980873,0.0
0.16,8165.0,11.86295498601794,0.0
0.168,8161.0,2.4148546070618977,0.0
0.176,8163.0,-3.9474584916090407,0.0
0.184,8154.0,-8.541744438308797,0.0
0.192,8444.0,47.44476333441776,0.0
0.2,8217.0,86.23285752830907,0.0
0.208,8151.0,36.23801192012252,0.0
0.216,8156.0,-11.28531797479286,0.0
0.224,8159.0,-36.04514292234467,0.0
0.232,8166.0,-43.180185209404044,0.0
0.24,8174.0,-37.78869933678311,0.0
0.248,8183.0,-25.39785660970915,0.0
0.256,8190.0,-10.950504614744204,0.0
0.264,8203.0,3.3398777767401953,0.0
0.272,8223.0,18.026748672733447,0.0
0.28,8244.0,32.355805827143286,0.0
0.288,8260.0,43.483595030239485,0.0
0.296,8258.0,46.33213649589811,0.0
0.304,8226.0,34.04603242352232,0.0
0.312,8187.0,7.112911827884545,0.0
0.32,8159.0,-23.58184790869882,0.0
0.328,8146.0,-46.53572551918978,0.0
0.336,8147.0,-55.50685551602396,0.0
0.344,8149.0,-51.78397006360137,0.0
0.352,8152.0,-40.70969653080988,1.0
0.36,8152.0,-27.375416437838794,0.0
0.368,8149.0,-15.952011389721974,0.0
0.376,8149.0,-7.390617733997715,0.0
0.384,8148.0,-1.411219581198111,0.0
0.392,8145.0,1.5217408773278294,0.0
0.4,8149.0,3.229875802691595,0.0
0.408,8144.0,3.5460758617828105,0.0
0.416,8153.0,4.012652395989562,0.0
0.424,8154.0,5.723227765661932,0.0
0.432,8167.0,8.72736187620194,0.0
0.44,8167.0,11.836741478858812,0.0
0.448,8148.0,7.999318065199532,0.0
0.456,8146.0,0.22676383602379246,0.0
0.464,8150.0,-3.9956903468150813,0.0
0.472,8140.0,-7.1128539156113675,0.0
0.48,8375.0,38.089738766297614,0.0
0.488,8193.0,69.87556725714171,0.0
0.496,8122.0,26.39158450604782,0.0
0.504,8147.0,-12.723884846487636,0.0
0.512,8149.0,-28.41149555094171,0.0
0.52,8155.0,-31.747197984738023,0.0
0.528,8164.0,-25.842164598694353,0.0
0.536,8168.0,-15.776049692899505,0.0
0.544,8185.0,-3.1408132767060124,0.0
0.552,8197.0,10.732552979331103,0.0
0.56,8211.0,22.6218786302652,0.0
0.568,8235.0,33.986893725831806,0.0
0.576,8254.0,44.340266109709546,0.0
0.584,8253.0,47.41814059504645,0.0
0.592,8229.0,36.94172007108273,0.0
0.6,8184.0,11.048424564593006,0.0
0.608,8155.0,-21.058160282225344,0.0
0.616,8141.0,-45.638211416423474,0.0
0.624,8141.0,-56.11573313462986,0.0
0.632,8144.0,-53.19141222893836,0.0
0.64,8147.0,-42.17172278330008,0.0
0.648,8152.0,-27.626559071119345,0.0
0.656,8154.0,-13.405955016302414,0.0
0.664,8155.0,-2.350509732193359,0.0
0.672,8155.0,4.748328226692138,0.0
0.68,8153.0,7.8180650379028975,0.0
0.688,8156.0,8.652492211526578,0.0
