1906, 15175896.000000, 1216.375000, 8251.500000, 8332.000000, 8368.500000
1907, 15176056.000000, 1199.750000, 8239.000000, 8291.500000, 8322.000000
1908, 15176216.000000, 1185.750000, 8207.000000, 8230.500000, 8246.500000
1909, 15176376.000000, 1171.625000, 8178.500000, 8180.000000, 8178.000000
1910, 15176536.000000, 1156.750000, 8165.500000, 8160.000000, 8149.500000
1911, 15176696.000000, 1141.750000, 8162.000000, 8156.500000, 8143.500000
1912, 15176856.000000, 1129.875000, 8166.000000, 8159.000000, 8149.000000
1913, 15177016.000000, 1122.375000, 8166.000000, 8158.000000, 8146.000000
1914, 15177176.000000, 1111.750000, 8168.000000, 8156.000000, 8145.500000
1915, 15177336.000000, 1086.625000, 8170.500000, 8155.500000, 8145.500000
1916, 15177496.000000, 1050.125000, 8168.500000, 8152.500000, 8140.000000
1917, 15177656.000000, 1040.250000, 8168.000000, 8151.000000, 8138.000000
1918, 15177816.000000, 1170.375000, 8167.500000, 8150.500000, 8136.500000
1919, 15177976.000000, 1498.875000, 8168.000000, 8150.000000, 8137.000000
1920, 15178136.000000, 1976.500000, 8169.000000, 8151.500000, 8138.500000
1921, 15178296.000000, 2408.500000, 8171.000000, 8153.000000, 8142.000000
1922, 15178456.000000, 2643.500000, 8169.000000, 8155.000000, 8143.000000
1923, 15178616.000000, 2656.875000, 8172.500000, 8156.000000, 8144.500000
1924, 15178776.000000, 2520.000000, 8172.000000, 8157.000000, 8147.000000
1925, 15178936.000000, 2334.250000, 8173.500000, 8160.000000, 8152.000000
1926, 15179096.000000, 2173.375000, 8175.500000, 8168.500000, 8149.000000
1927, 15179256.000000, 2050.625000, 8187.000000, 8163.000000, 8155.000000
1928, 15179416.000000, 1938.750000, 8182.500000, 8164.500000, 8157.500000
1929, 15179576.000000, 1824.500000, 8178.000000, 8162.000000, 8153.000000
1930, 15179736.000000, 1738.375000, 8178.000000, 8165.500000, 8156.500000
1931, 15179896.000000, 1709.375000, 8177.500000, 8170.500000, 8165.000000
1932, 15180056.000000, 1722.375000, 8289.500000, 8254.500000, 8299.500000
1933, 15180216.000000, 1744.000000, 8521.000000, 8066.000000, 8245.500000
1934, 15180376.000000, 1736.500000, 8053.000000, 8060.000000, 8003.500000
1935, 15180536.000000, 1688.250000, 8105.000000, 8137.500000, 8060.000000
1936, 15180696.000000, 1603.750000, 8175.500000, 8213.500000, 8203.500000
1937, 15180856.000000, 1503.125000, 8192.000000, 8222.000000, 8224.000000
1938, 15181016.000000, 1402.375000, 8200.500000, 8228.000000, 8234.500000
1939, 15181176.000000, 1314.000000, 8206.500000, 8236.500000, 8245.000000
1940, 15181336.000000, 1247.750000, 8216.000000, 8248.000000, 8261.000000
1941, 15181496.000000, 1202.875000, 8226.000000, 8264.000000, 8282.000000
1942, 15181656.000000, 1178.375000, 8237.000000, 8282.000000, 8306.000000
1943, 15181816.000000, 1163.625000, 8253.000000, 8302.500000, 8334.000000
1944, 15181976.000000, 1153.500000, 8263.500000, 8314.000000, 8349.500000
1945, 15182136.000000, 1139.875000, 8262.500000, 8308.500000, 8341.500000
1946, 15182296.000000, 1121.000000, 8253.500000, 8285.500000, 8315.500000
1947, 15182456.000000, 1101.875000, 8224.500000, 8241.500000, 8261.500000
1948, 15182616.000000, 1089.125000, 8186.000000, 8194.000000, 8196.000000
1949, 15182776.000000, 1078.375000, 8167.000000, 8165.000000, 8155.500000
1950, 15182936.000000, 1068.500000, 8166.000000, 8158.000000, 8148.000000
1951, 15183096.000000, 1061.250000, 8165.000000, 8160.000000, 8149.000000
1952, 15183256.000000, 1057.625000, 8168.000000, 8159.000000, 8148.500000
1953, 15183416.000000, 1053.375000, 8170.000000, 8158.000000, 8149.000000
1954, 15183576.000000, 1042.750000, 8170.500000, 8155.500000, 8145.500000
1955, 15183736.000000, 1022.250000, 8169.000000, 8155.000000, 8144.000000
1956, 15183896.000000, 998.250000, 8166.500000, 8153.000000, 8139.500000
1957, 15184056.000000, 1028.750000, 8163.000000, 8152.000000, 8138.000000
1958, 15184216.000000, 1227.875000, 8164.000000, 8152.000000, 8137.000000
1959, 15184376.000000, 1604.625000, 8162.500000, 8152.000000, 8136.500000
1960, 15184536.000000, 2043.875000, 8166.000000, 8154.000000, 8140.000000
1961, 15184696.000000, 2375.250000, 8165.500000, 8154.500000, 8141.000000
1962, 15184856.000000, 2503.375000, 8160.000000, 8154.000000, 8138.000000
1963, 15185016.000000, 2453.125000, 8170.500000, 8168.000000, 8152.000000
1964, 15185176.000000, 2306.250000, 8175.000000, 8160.500000, 8148.500000
1965, 15185336.000000, 2145.750000, 8177.500000, 8163.000000, 8151.500000
1966, 15185496.000000, 2008.500000, 8167.000000, 8161.000000, 8145.500000
1967, 15185656.000000, 1883.125000, 8165.000000, 8163.500000, 8148.500000
1968, 15185816.000000, 1759.750000, 8170.000000, 8164.500000, 8153.500000
1969, 15185976.000000, 1666.625000, 8167.000000, 8234.500000, 8232.000000
1970, 15186136.000000, 1641.625000, 8573.000000, 8135.500000, 8325.500000
1971, 15186296.000000, 1680.250000, 8071.000000, 8038.000000, 8022.500000
1972, 15186456.000000, 1738.125000, 8067.000000, 8087.000000, 7993.000000
1973, 15186616.000000, 1774.625000, 8150.500000, 8199.000000, 8169.500000
1974, 15186776.000000, 1767.500000, 8177.500000, 8220.000000, 8213.500000
1975, 15186936.000000, 1724.750000, 8189.000000, 8225.500000, 8225.500000
1976, 15187096.000000, 1654.375000, 8197.000000, 8235.000000, 8239.500000
